CID;LAC;BCH;Localization;GPS
10727;8030;12;Brno - Èerná Pole, Mathonova 890/20, ex 1010x (+TMO);49°12'50.59"N,16°37'23.33"E
10728;8030;5;Brno - Èerná Pole, Mathonova 890/20, ex 1010x (+TMO);49°12'50.59"N,16°37'23.33"E
10729;8030;15;Brno - Èerná Pole, Mathonova 890/20, ex 1010x (+TMO);49°12'50.59"N,16°37'23.33"E
10734;8040;818;Brno - Veveøí, Mezírka 775/1, budova Prùmyslového stavitelství, ex 1345x (+TMO,+O2);49°12'03.07"N,16°36'13.93"E
10735;8040;789;Brno - Veveøí, Mezírka 775/1, budova Prùmyslového stavitelství, ex 1345x (+TMO,+O2);49°12'03.07"N,16°36'13.93"E
10736;8040;820;Brno - Veveøí, Mezírka 775/1, budova Prùmyslového stavitelství, ex 1345x (+TMO,+O2);49°12'03.07"N,16°36'13.93"E
10737;8030;816;Brno - Lesná, Nejedlého 391/26, nízkı panelák, ex 1203x;49°13'45.70"N,16°37'48.17"E
10738;8030;819;Brno - Lesná, Nejedlého 391/26, nízkı panelák, ex 1203x;49°13'45.70"N,16°37'48.17"E
10739;8030;825;Brno - Lesná, Nejedlého 391/26, nízkı panelák, ex 1203x;49°13'45.70"N,16°37'48.17"E
10744;8050;787;Brno - Bohunice, Neuilova 687/6, panelák, ex 1143x;49°10'10.00"N,16°34'40.61"E
10745;8050;830;Brno - Bohunice, Neuilova 687/6, panelák, ex 1143x;49°10'10.00"N,16°34'40.61"E
10746;8050;794;Brno - Bohunice, Neuilova 687/6, panelák, ex 1143x;49°10'10.00"N,16°34'40.61"E
10747;8050;2;Brno - Bohunice, Neuilova 687/6, panelák, ex 1017x;49°10'10.00"N,16°34'40.61"E
10748;8050;12;Brno - Bohunice, Neuilova 687/6, panelák, ex 1017x;49°10'10.00"N,16°34'40.61"E
10749;8050;19;Brno - Bohunice, Neuilova 687/6, panelák, ex 1017x;49°10'10.00"N,16°34'40.61"E
10754;8050;787;Brno - Novı Lískovec, Sluneèná 480/4, ex 1049x;49°10'41.74"N,16°32'50.55"E
10755;8050;815;Brno - Novı Lískovec, Sluneèná 480/4, ex 1049x;49°10'41.74"N,16°32'50.55"E
10756;8050;777;Brno - Novı Lískovec, Sluneèná 480/4, ex 1049x;49°10'41.74"N,16°32'50.55"E
10757;8030;818;Brno - Líšeò, Novolíšeòská 2411/10, ZŠ, ex 1158x (+GSM)(+O2);49°12'21.09"N,16°41'12.56"E
10758;8030;787;Brno - Líšeò, Novolíšeòská 2411/10, ZŠ, ex 1158x (+GSM)(+O2);49°12'21.09"N,16°41'12.56"E
10759;8030;816;Brno - Líšeò, Novolíšeòská 2411/10, ZŠ, ex 1158x (+GSM)(+O2);49°12'21.09"N,16°41'12.56"E
10764;8030;15;Brno - Líšeò, Novolíšeòská 2411/10, ZŠ, ex 1019x (+DCS)(+O2);49°12'21.09"N,16°41'12.56"E
10765;8030;13;Brno - Líšeò, Novolíšeòská 2411/10, ZŠ, ex 1019x (+DCS)(+O2);49°12'21.09"N,16°41'12.56"E
10766;8030;6;Brno - Líšeò, Novolíšeòská 2411/10, ZŠ, ex 1019x (+DCS)(+O2);49°12'21.09"N,16°41'12.56"E
10767;8040;786;Brno, Novobranská 632/16, ex 1191x (+GSM);49°11'37.49"N,16°36'47.05"E
10768;8040;812;Brno, Novobranská 632/16, ex 1191x (+GSM);49°11'37.49"N,16°36'47.05"E
10769;8040;784;Brno, Novobranská 632/16, ex 1191x (+GSM);49°11'37.49"N,16°36'47.05"E
10774;8040;18;Brno, Novobranská 632/16, ex 1190x (DCS-1191x);49°11'37.49"N,16°36'47.05"E
10775;8040;12;Brno, Novobranská 632/16, ex 1190x (DCS-1191x);49°11'37.49"N,16°36'47.05"E
10776;8040;2;Brno, Novobranská 632/16, ex 1190x (DCS-1191x);49°11'37.49"N,16°36'47.05"E
10777;8050;824;Brno - Bohunice, Netroufalky 223/1, ubytovna FN Brno, ex 1393x;49°10'46.27"N,16°34'13.44"E
10778;8050;819;Brno - Bohunice, Netroufalky 223/1, ubytovna FN Brno, ex 1393x;49°10'46.27"N,16°34'13.44"E
10784;8050;829;Brno - Novı Lískovec, Oblá 424/28, panelák, ex 1275x;49°10'35.12"N,16°33'22.63"E
10785;8050;788;Brno - Novı Lískovec, Oblá 424/28, panelák, ex 1275x;49°10'35.12"N,16°33'22.63"E
10786;8050;812;Brno - Novı Lískovec, Oblá 424/28, panelák, ex 1275x;49°10'35.12"N,16°33'22.63"E
10787;8050;785;Brno - Novı Lískovec, Oblá 362/3, panelák, ex 1223x;49°10'37.85"N,16°33'43.58"E
10788;8050;792;Brno - Novı Lískovec, Oblá 362/3, panelák, ex 1223x;49°10'37.85"N,16°33'43.58"E
10789;8050;797;Brno - Novı Lískovec, Oblá 362/3, panelák, ex 1223x;49°10'37.85"N,16°33'43.58"E
10794;8030;863;Brno - Malomìøice, Obøanská 940/60, komín teplárny, ex 1252x (+TMO);49°13'23.16"N,16°38'48.76"E
10795;8030;21;Brno - Malomìøice, Obøanská 940/60, komín teplárny, ex 1252x (+TMO);49°13'23.16"N,16°38'48.76"E
10796;8030;814;Brno - Malomìøice, Obøanská 940/60, komín teplárny, ex 1252x (+TMO);49°13'23.16"N,16°38'48.76"E
